Task,Model,Type,Epoch,Accuracy,F1,Precision,Recall,Loss,Step,Runtime,Samples Per Second,Steps Per Second
C1_v2,BERT,train,1,0.89231,0.8924859497614005,0.893739303936796,0.8923099999999999,0.36645761132240295,12500,278.2082,359.443,44.93
C1_v2,BERT,eval,1,0.89035,0.8904762384828103,0.8916112416233053,0.8903500000000001,0.36999616026878357,12500,54.3053,368.288,46.036
C1_v2,BERT,train,2,0.90432,0.9043402196881116,0.9056514243122327,0.90432,0.3320206105709076,25000,278.4051,359.189,44.899
C1_v2,BERT,eval,2,0.90145,0.9014626794605657,0.9028932975387836,0.90145,0.34090009331703186,25000,54.4315,367.434,45.929
C1_v2,BERT,train,3,0.90902,0.9089389323444933,0.9099608092429305,0.9090199999999999,0.31075504422187805,37500,277.3138,360.602,45.075
C1_v2,BERT,eval,3,0.9066,0.9065379124338113,0.907669628447769,0.9066000000000001,0.3216082751750946,37500,54.4469,367.33,45.916
C1_v2,BERT,train,4,0.91243,0.9124649020430986,0.9133292172597127,0.91243,0.2993085980415344,50000,277.9379,359.793,44.974
C1_v2,BERT,eval,4,0.91065,0.9107476173565272,0.9117839655907654,0.9106500000000001,0.31269341707229614,50000,54.8522,364.616,45.577
C1_v2,BERT,train,5,0.91552,0.9154988881206962,0.9161235415533878,0.91552,0.2871859073638916,62500,278.1854,359.472,44.934
C1_v2,BERT,eval,5,0.9132,0.9132014341243779,0.9138823302724236,0.9132,0.3033289909362793,62500,54.6302,366.098,45.762
C1_v2,BERT,train,6,0.91782,0.9177850605099377,0.9183934250952539,0.9178200000000001,0.28335270285606384,75000,275.9228,362.42,45.303
C1_v2,BERT,eval,6,0.9158,0.9157818298719971,0.9164765378475015,0.9158000000000001,0.29990509152412415,75000,55.0437,363.348,45.418
C1_v2,BERT,train,7,0.9193,0.9192647934013508,0.9197845467599739,0.9193,0.2785564661026001,87500,274.9168,363.746,45.468
C1_v2,BERT,eval,7,0.91645,0.916421038096181,0.9169923423429266,0.91645,0.2962336540222168,87500,54.3803,367.78,45.973
C1_v2,BERT,train,8,0.92038,0.9203650217118676,0.9208460477519874,0.92038,0.27719253301620483,100000,275.8031,362.578,45.322
C1_v2,BERT,eval,8,0.917,0.9169768796861723,0.9174915402947493,0.917,0.2963564991950989,100000,54.2562,368.621,46.078
C1_v2,BERT,train,9,0.92111,0.9210825218727325,0.9215851441403581,0.92111,0.27544569969177246,112500,277.3686,360.531,45.066
C1_v2,BERT,eval,9,0.91715,0.9171054058415353,0.9176643501557606,0.9171499999999999,0.29542168974876404,112500,54.8823,364.416,45.552
C1_v2,BERT,train,10,0.92105,0.9210336059525311,0.9215808355386661,0.9210499999999999,0.27523094415664673,125000,278.9862,358.441,44.805
C1_v2,BERT,eval,10,0.91745,0.9174275583738758,0.918028029860136,0.9174500000000001,0.2953013777732849,125000,54.89,364.365,45.546
